Albania,1987,male,15-24 years,21,312900,2156624900,796,Generation X
Albania,1988,female,75+ years,2,36400,2126000000,769,G.I. Generation
Albania,1989,male,75+ years,2,22500,2335124988,833,G.I. Generation
Albania,1992,male,35-54 years,12,343800,709452584,251,Boomers
Uruguay,1987,female,25-34 years,7,206100,7367494080,2651,Boomers
Uruguay,1988,male,75+ years,33,48100,8213515459,2934,G.I. Generation
Uruguay,1989,male,75+ years,37,48500,8438951476,2992,G.I. Generation
Uruguay,1992,male,25-34 years,48,217544,15002106518,5180,Boomers
